lat,lon,Temperature,Fe,O2,Silicate,Nitrate,pH,Phosphate,Salinity,SPCO2,Chla,PAR,DOC,NH4,NPP
-19.605793,-4.5,20.828852,6.72E-05,222.47398,1.2130802,0.902659,8.0771885,0.11129746,36.94443,36.06109,0.30115506,0.4302027,19.494131,0.20255343,9.132092928
-19.605793,-3.5,20.823523,6.67E-05,222.41938,1.1811343,0.9756359,8.075421,0.11677018,36.93972,36.13026,0.30244217,0.42966068,19.21291,0.21263961,9.165863578
-19.605793,-2.5,20.70566,6.92E-05,222.67465,1.1333233,1.072897,8.073531,0.12464669,36.893963,36.160862,0.3082738,0.43191373,18.840764,0.22435699,9.415648397
-19.605793,-1.5,20.626715,7.38E-05,223.40891,1.0770124,1.0695081,8.072319,0.12524943,36.847843,36.072945,0.31576512,0.44585025,18.591741,0.22638366,10.00604172
-19.605793,-0.5,20.557186,0.000082962,224.03096,1.0374426,1.0596237,8.071839,0.12497428,36.79314,35.93024,0.323912,0.47250313,18.415682,0.22663531,11.22897012
-18.66211,-39.5,23.002083,0.002264002,214.13167,1.8482523,0.005781017,8.076808,0.005250962,36.855675,34.32357,0.12132044,0.49642202,30.398536,0.003160356,3.326348022
-18.66211,-38.5,23.569557,0.001335278,212.6045,1.572173,0.000572117,8.074737,0.006639785,37.069073,35.34706,0.08675359,0.439453,30.245932,0.001052159,1.085414515
-18.66211,-37.5,23.944038,0.000635616,212.25198,1.4945286,0.000236282,8.06887,0.008587956,37.231808,36.28185,0.072923656,0.40268615,29.859167,0.000748623,0.621356365
-18.66211,-36.5,23.905153,0.000482094,212.45395,1.4762201,0.000153022,8.067359,0.009111563,37.245197,36.33051,0.08464253,0.380343,29.93383,0.000717011,0.531314173
-18.66211,-35.5,23.7119,0.000440432,212.81885,1.4715347,0.000132458,8.071996,0.009090157,37.181137,36.074142,0.068734036,0.3848711,29.996786,0.000668832,0.49719547
-18.66211,-34.5,23.681892,0.000420367,213.01065,1.4652606,0.000122385,8.070606,0.00952664,37.22388,36.230663,0.06641349,0.38688213,29.75616,0.000657712,0.485311772
-18.66211,-33.5,23.619537,0.000407159,213.22887,1.4597839,0.000128826,8.071761,0.010223724,37.272915,36.30232,0.070273614,0.38500938,29.466635,0.00066234,0.473245908
-18.66211,-32.5,23.557993,0.00039156,213.50212,1.4510384,0.000133319,8.071272,0.01102842,37.30831,36.433197,0.07174032,0.38018385,29.087752,0.000667441,0.458354485
-18.66211,-31.5,23.414278,0.000370966,213.98258,1.4365307,0.000142875,8.072463,0.011773052,37.284798,36.38864,0.07201602,0.38105392,28.633147,0.000645281,0.435659026
-18.66211,-30.5,23.29539,0.000345745,214.47939,1.4142774,0.000155836,8.072169,0.012770905,37.26025,36.440872,0.07326389,0.3829246,28.053686,0.000618992,0.414555916
-18.66211,-29.5,23.17755,0.000318336,214.94627,1.385322,0.000161766,8.070924,0.014088557,37.24919,36.549313,0.07611754,0.3794495,27.396316,0.000596455,0.38841543
-18.66211,-28.5,23.090487,0.000290351,215.40499,1.3510237,0.000168109,8.070481,0.015720703,37.235428,36.714928,0.079177385,0.38210642,26.675418,0.000571567,0.369861666
-18.66211,-27.5,22.929625,0.000263182,216.0596,1.3145918,0.000192548,8.070205,0.017733086,37.21667,36.778008,0.07680311,0.37963793,25.911411,0.000550445,0.3469099
-18.66211,-26.5,22.779686,0.000242292,216.70471,1.2873379,0.000196153,8.069882,0.019483992,37.179745,36.801216,0.07460106,0.37851214,25.285773,0.000530047,0.326898167
-18.66211,-25.5,22.6628,0.000231725,217.28736,1.2784482,0.000210563,8.069819,0.020496804,37.13006,36.751175,0.07370554,0.38014084,24.918815,0.00051894,0.318510144
-18.66211,-24.5,22.513115,0.000228655,217.85513,1.288527,0.000231308,8.069643,0.020856522,37.07867,36.528164,0.07267326,0.38449097,24.783917,0.000507993,0.313441612
-18.66211,-23.5,22.466354,0.000233259,218.0998,1.3233498,0.000250622,8.069358,0.02017353,37.031994,36.31792,0.07319276,0.38503936,24.891572,0.000530521,0.321348664
-18.66211,-22.5,22.486118,0.000239737,218.18241,1.3639043,0.000286362,8.070187,0.019187113,37.002403,36.1817,0.073236886,0.38636485,25.0846,0.000563276,0.339338761
-18.66211,-21.5,22.490755,0.000244077,218.22074,1.3975175,0.000239744,8.071318,0.018438877,36.967957,36.055565,0.07329774,0.38936397,25.241094,0.000560892,0.340132743
-18.66211,-20.5,22.417286,0.000241347,218.56375,1.408217,0.000216223,8.07279,0.01873501,36.921974,35.986248,0.0805236,0.38660133,25.168614,0.00056103,0.332188646
-18.66211,-19.5,22.268112,0.00022928,219.2194,1.3930561,0.000226937,8.074288,0.020893205,36.870525,35.96795,0.086619526,0.38593072,24.781924,0.000544149,0.31927721
-18.66211,-18.5,22.058289,0.000210369,220.15925,1.3472084,0.000259834,8.076159,0.02428708,36.824112,36.000843,0.09692402,0.39571005,24.221163,0.000494952,0.30339474
-18.66211,-17.5,21.810925,0.000187894,221.17026,1.2877304,0.00031963,8.077519,0.028291504,36.788242,36.028225,0.10739889,0.39506754,23.606906,0.000471267,0.283863015
-18.66211,-16.5,21.640942,0.000166732,221.96518,1.2322264,0.000491355,8.079274,0.032023567,36.76888,36.108143,0.1254062,0.39417282,23.097385,0.000466198,0.284317372
-18.66211,-15.5,21.481695,0.000146933,222.79638,1.1867641,0.001038904,8.080159,0.035365676,36.747837,36.12005,0.14459869,0.3888311,22.67607,0.000520352,0.332313684
-18.66211,-14.5,21.340977,0.000131695,223.45884,1.1613094,0.002059537,8.080589,0.03773457,36.733852,36.053326,0.16807693,0.39800942,22.465711,0.000602113,0.450869587
-18.66211,-13.5,21.209639,0.000118578,224.10955,1.1513266,0.005649543,8.080669,0.039643983,36.717724,35.91698,0.17778216,0.40170547,22.353804,0.000954916,0.891082529
-18.66211,-12.5,21.11127,0.000109199,224.74329,1.153207,0.020665382,8.080078,0.04180019,36.716488,35.786312,0.21457262,0.4164973,22.28745,0.002524299,2.266896948
-18.66211,-11.5,21.007175,0.000101417,225.23083,1.1684605,0.055640456,8.079291,0.04492841,36.722164,35.607735,0.23684553,0.43489048,22.218429,0.00733783,4.40770388
-18.66211,-10.5,20.954546,9.53E-05,225.32862,1.1943999,0.11395539,8.078917,0.04956793,36.75164,35.516735,0.2711524,0.43203777,22.059495,0.021281323,5.963960172
-18.66211,-9.5,20.999273,0.000095096,225.02992,1.2342382,0.17759757,8.077656,0.05397708,36.79692,35.498554,0.29656963,0.45803162,21.8663,0.040432067,7.945990618
-18.66211,-8.5,21.112629,9.68E-05,224.23835,1.2868798,0.26093866,8.076109,0.059066828,36.859657,35.589138,0.31590502,0.4803255,21.698024,0.0654912,8.871331507
-18.66211,-7.5,21.161211,9.50E-05,223.89066,1.3297312,0.3191211,8.075062,0.06243172,36.907696,35.558044,0.3280301,0.49800983,21.349791,0.08954141,10.65583745
-18.66211,-6.5,21.191504,9.32E-05,223.42949,1.3730479,0.37586954,8.074941,0.06553353,36.95771,35.49191,0.3311132,0.4985654,21.080127,0.11463064,11.83748515
-18.66211,-5.5,21.194883,9.06E-05,222.66556,1.3969302,0.47257275,8.074777,0.073028124,36.996407,35.531925,0.33713965,0.45054865,20.7775,0.15583521,11.04258459
-18.66211,-4.5,21.218304,8.46E-05,222.19172,1.3952571,0.5589741,8.073988,0.07970739,37.0119,35.619602,0.33851617,0.45323244,20.50058,0.17854823,10.84429659
-18.66211,-3.5,21.239517,7.87E-05,221.84786,1.3571588,0.65984786,8.072714,0.0878826,37.023315,35.77594,0.33528014,0.46096364,20.144874,0.19741798,10.79781062
-18.66211,-2.5,21.136011,7.59E-05,221.74633,1.3102858,0.82197756,8.071181,0.10117223,37.008324,35.91828,0.3352156,0.46093377,19.729229,0.22309311,10.65732215
-18.66211,-1.5,21.082033,7.64E-05,221.75555,1.2595284,0.924893,8.070376,0.10951133,36.99079,36.016052,0.3355965,0.4662382,19.424481,0.23627028,10.83865329
-18.66211,-0.5,21.042479,8.04E-05,222.0181,1.2126573,0.9478969,8.070359,0.11174265,36.967583,35.96339,0.34042218,0.48569623,19.261707,0.24209122,11.60904027
-17.715097,-38.5,23.555168,0.001442724,212.8024,1.5698753,0.00069258,8.0771475,0.006840814,37.00812,35.39855,0.09330875,0.4884569,29.880146,0.001163156,1.323311904
-17.715097,-37.5,23.959204,0.000674551,212.32346,1.501241,0.000343149,8.068886,0.008015775,37.14941,36.195164,0.06914348,0.41669366,30.021846,0.000737704,0.664683771
-17.715097,-36.5,23.87138,0.000463304,212.60768,1.4721395,0.000168962,8.067235,0.008101301,37.068565,36.110832,0.06416762,0.38988763,30.189848,0.000663209,0.529583702
-17.715097,-35.5,23.65519,0.000417002,213.14962,1.4535415,0.00014272,8.073475,0.007975984,36.91684,35.83243,0.057945785,0.4023012,29.9586,0.000608252,0.505117244
-17.715097,-34.5,23.679728,0.000394069,213.28975,1.4410726,0.000129468,8.070396,0.008453143,36.983734,36.030712,0.056659217,0.3998241,29.64223,0.000602571,0.49310996
