Temperature,Fe,O2,Silicate,Nitrate,pH,Phosphate,Salinity,SPCO2,Chla,PAR,DOC,NH4,Iceberg,NPP
-1.7591941,0.00126907,339.85996,42.167038,26.42605,8.047163,1.8745436,33.749104,38.380665,1.225103,0.09143553,5.209153,0.036176647,0.471983414,0.23328
-1.7568084,0.00129798,339.33657,42.40231,26.463617,8.049896,1.8763293,33.70733,38.399307,1.259908,0.09225234,5.2010408,0.03594877,0.459174761,0.295488
-1.7367243,0.00134591,339.39433,42.431008,26.383301,8.051106,1.8703277,33.599655,38.20444,1.267185,0.10736731,5.2067866,0.0364197,0.388139861,0.8211456
-1.6912048,0.00141654,340.88454,41.95745,26.056705,8.0522,1.8487939,33.38992,37.52948,1.384676,0.12627454,5.292975,0.040492065,0.279063999,2.54016
-1.6233029,0.00147744,345.23028,40.993266,25.512762,8.054509,1.8142875,33.237885,36.62162,1.611506,0.19451547,5.544338,0.050052764,0.796696819,8.159616
-1.5130893,0.00151502,351.05518,39.97638,24.997016,8.057052,1.7828102,33.271183,35.997887,1.791486,0.2535358,5.8961986,0.06159012,2.887409376,15.0336
-1.7101911,0.00202669,332.92875,42.628147,25.871165,8.044248,1.8417776,33.63324,38.02741,0.283874,0.12384163,5.3308755,0.029966095,1.798814045,0.3431808
-1.7207137,0.00175834,332.61546,42.48364,25.875114,8.043118,1.8419252,33.54896,37.933933,0.324966,0.08837161,5.3268066,0.030359179,1.206718387,0.2270592
-1.7336266,0.0014698,332.34832,42.91743,26.07909,8.038938,1.8550084,33.597507,38.183247,0.271237,0.074820094,5.3334096,0.030735122,1.009180944,0.1596672
-1.7415907,0.00133606,332.65552,43.244403,26.251288,8.035821,1.8659522,33.66763,38.40897,0.292835,0.06819384,5.3373924,0.030929918,1.282276397,0.1285632
-1.7371446,0.00129137,333.5619,43.169543,26.30062,8.034194,1.8689055,33.674038,38.4496,0.400924,0.070078254,5.3237057,0.031590327,1.261549123,0.1327104
-1.7184557,0.00129237,334.57375,42.756706,26.254896,8.032985,1.8653553,33.633038,38.359043,0.566233,0.073444895,5.2967803,0.03268099,0.999314323,0.1441152
-1.708364,0.00130284,335.59278,42.37905,26.213607,8.032675,1.8621358,33.59677,38.253048,0.691192,0.074453205,5.2688047,0.033802335,0.608131541,0.1524096
-1.7097198,0.00130824,336.63338,42.12904,26.207946,8.032735,1.861273,33.58182,38.184612,0.787214,0.07586882,5.2448204,0.034764525,0.318717677,0.1596672
-1.7214912,0.00129129,337.80763,42.07109,26.259733,8.033922,1.8644275,33.631752,38.230274,0.804499,0.084216036,5.2320003,0.035470875,0.269597411,0.1845504
-1.7400986,0.00126394,338.7775,42.15795,26.350847,8.037036,1.8702118,33.696774,38.328243,0.760625,0.09132182,5.2273893,0.035873552,0.402514566,0.202176
-1.754609,0.00124138,339.23194,42.3976,26.45904,8.041713,1.8770606,33.747993,38.460415,0.767737,0.09072211,5.2263816,0.035993715,0.2898687,0.1990656
-1.7613956,0.00123347,339.0935,42.708907,26.551625,8.045674,1.8827271,33.77408,38.58324,0.800274,0.096668474,5.2248286,0.03589526,0.2953652,0.2187648
-1.7629813,0.00125559,338.32902,42.984124,26.594102,8.04804,1.8848181,33.72751,38.599354,0.827793,0.0977942,5.219247,0.035732966,0.356702262,0.2716416
-1.7511113,0.00129052,338.12186,43.046106,26.521169,8.049056,1.879309,33.621906,38.396126,0.857903,0.09409484,5.2274726,0.036592857,0.291833885,0.5920128
-1.7139324,0.00134231,339.43757,42.51941,26.178695,8.050584,1.8568023,33.40201,37.683105,1.00117,0.104595855,5.316071,0.042718624,0.17385262,1.60704
-1.6568139,0.00139296,344.00925,41.277926,25.542034,8.053562,1.8162689,33.21227,36.58175,1.270598,0.13630591,5.58976,0.05675006,0.386871379,5.463936
-1.4860375,0.00138215,351.60995,39.740395,24.820242,8.057881,1.7719609,33.219875,35.65912,1.529212,0.21836396,6.0522268,0.074100724,1.224422266,13.4784
-1.1119153,0.00139534,359.14648,38.330425,24.167517,8.062326,1.7326262,33.30141,35.16616,1.725783,0.295456,6.5367604,0.08705866,1.92215929,22.91328
-1.8094262,0.00204162,332.5171,43.80401,26.228463,8.038709,1.8663972,33.939205,38.526314,0.299097,0.085082024,5.382008,0.029002635,3.991487846,0.1876608
-1.8153312,0.00180671,333.4302,43.693975,26.26517,8.036587,1.8690011,33.857773,38.45882,0.235423,0.06952918,5.3912327,0.02967389,5.702095872,0.1492992
-1.7654016,0.00163282,333.46692,43.49133,26.214598,8.03369,1.8653087,33.817905,38.464287,0.21164,0.08479444,5.3809583,0.029799083,2.246324227,0.2032128
-1.7753674,0.00143454,331.7888,44.05393,26.36417,8.030791,1.8744523,33.79349,38.608356,0.175806,0.068364866,5.3790826,0.029304852,0.771891466,0.1389312
-1.7805848,0.00127366,330.77717,44.9826,26.647272,8.027263,1.8925982,33.879116,39.03808,0.140638,0.068847984,5.394901,0.028541604,0.771699053,0.1213056
-1.7843536,0.0012052,330.70725,45.38539,26.790079,8.0265665,1.9017445,33.91367,39.244244,0.147231,0.07295326,5.4014167,0.028214507,0.865756426,0.1223424
-1.7775292,0.00119048,331.89186,45.025557,26.76925,8.027273,1.8999898,33.89044,39.16336,0.193092,0.07897023,5.3836983,0.02910438,0.858848659,0.139968
-1.762109,0.00119583,333.51973,44.37157,26.67382,8.027411,1.8934002,33.857174,39.008938,0.255236,0.08739948,5.356065,0.0305617,0.603055368,0.1669248
-1.755978,0.00121501,334.80692,43.73095,26.570432,8.0280075,1.8860805,33.795956,38.80014,0.300641,0.08469776,5.3219832,0.032032895,0.346572864,0.1689984
-1.75334,0.00122074,336.1893,43.295328,26.523018,8.029765,1.8825522,33.77023,38.676346,0.332074,0.086625315,5.2952385,0.033326152,0.263697984,0.18144
-1.7576107,0.00121761,337.34152,43.06835,26.523294,8.030862,1.882179,33.769844,38.62912,0.33197,0.09374881,5.275283,0.03428545,0.238377773,0.2083968
-1.7604033,0.00120862,338.09137,43.033052,26.560498,8.033581,1.884302,33.781006,38.65077,0.305309,0.100120105,5.263733,0.034855973,0.212869382,0.2260224
-1.7635734,0.00119167,338.49153,43.20728,26.646215,8.038153,1.8896083,33.80518,38.756218,0.291324,0.0974972,5.2609593,0.035076195,0.255562759,0.2166912
-1.7657214,0.0011835,338.23666,43.538693,26.735228,8.041787,1.8950512,33.822525,38.873703,0.309494,0.10543205,5.2615902,0.035024936,0.288584899,0.238464
-1.7716001,0.00119647,337.08477,43.91542,26.795795,8.0444565,1.8983851,33.78743,38.943367,0.379816,0.09727962,5.26251,0.034765475,0.295773898,0.2467584
-1.7687113,0.00120968,336.42045,44.16669,26.784675,8.045518,1.8969834,33.72584,38.869205,0.498555,0.09185072,5.279373,0.035416222,0.199446555,0.4002048
-1.7417207,0.00124328,337.20726,43.77557,26.508631,8.047552,1.8787482,33.53465,38.270916,0.667776,0.09774248,5.353878,0.041638403,0.139106281,0.9880704
-1.71026,0.00127371,341.21606,42.52724,25.934245,8.050466,1.8421488,33.33349,37.182545,0.930428,0.100604646,5.5744266,0.05850004,0.219711796,2.063232
-1.6379302,0.00127896,348.47885,40.61064,25.096808,8.056127,1.7900493,33.21185,35.870975,1.278803,0.15180556,5.9895297,0.08073918,0.709779542,6.542208
-1.29103,0.0012598,357.53968,38.36774,24.130424,8.063288,1.7306703,33.221786,34.820217,1.578662,0.22794037,6.5680183,0.10020248,1.158232608,15.86304
-1.842869,0.00195983,330.9158,44.350315,26.323128,8.027222,1.872631,33.98889,38.612305,0.244224,0.06892968,5.3846505,0.027425465,5.200296163,0.1316736
-1.836022,0.00174683,332.37764,44.13736,26.347537,8.031691,1.8745773,33.926346,38.58792,0.251442,0.060836386,5.3983834,0.02882123,5.817993696,0.1202688
-1.8075154,0.00157654,332.16137,44.258505,26.401214,8.027076,1.8778766,33.88781,38.69549,0.180808,0.060067624,5.4011275,0.029071025,1.871539171,0.1202688
-1.8034796,0.0013792,331.1671,45.06454,26.626209,8.021554,1.8923254,33.949116,39.04176,0.137587,0.060034465,5.4174047,0.02835061,1.272226694,0.114048
-1.8068377,0.00125619,328.31094,46.458248,26.943346,8.017457,1.9122431,33.981106,39.525284,0.10003,0.062066462,5.4320428,0.026551359,0.637421305,0.10285056
-1.8078593,0.00117322,326.4635,47.741927,27.263397,8.015307,1.9327071,34.047104,40.01887,0.0805,0.065396,5.4550986,0.024953963,0.489332051,0.09963648
-1.8095526,0.00113087,326.57623,48.103396,27.379667,8.014324,1.9402592,34.083652,40.187534,0.0791,0.07141551,5.4655327,0.02462194,0.644998257,0.1099008
